,Sequence,Length
001,Z W I↑ H I,5.08
002,Z W C↑ P W I,5.31
003,Z P W↑ P W C↑ P C,7.03
004,Z C I↑ H P C↑ P W V,8.57
021,Z C↑ H W C,5.13
022,Z W C↑ H W C,5.64
023,Z W C↑ H C↑ V W C,7.42
024,Z W C↑ H C↑ H W C,8.78
041,Z C↑ H P C,5.25
042,Z W C↑ H P C,5.76
043,Z W C↑ H C↑ V W C,7.42
044,Z W C↑ H C↑ H P C,8.9
061,Z V W↑ O V,5.47
062,Z W C↑ O V C,5.57
063,Z H W C↑ O V C,6.8
064,Z V W C↑ O V↑ O W C,9.01
081,Z V C↑ D V C,4.92
082,Z V W C↑ D W C,6.09
083,Z V W↑ O V C↑ D I,7.87
084,Z V C↑ D V W↑ O W C,9.53
101,Z V W↑ I V W,5.14
102,Z V W↑ D V W↑ C,6.53
103,Z V W↑ D W↑ I V,7.71
104,Z H W↑ D V W↑ I V,8.28
121,Z V W↑ I V C,5.0
122,Z V W↑ I W V C,6.35
123,Z V P W↑ D V P C,7.51
124,Z V W↑ D V W↑ I H W,9.59
141,Z I V W↑ C W,4.05
142,Z V P↑ I V W,5.47
143,Z V P↑ V H W↑ C W,6.62
144,Z V P↑ I V↑ I O W,7.87
161,Z V P↑ C D I,5.12
162,Z P↑ W↑ C V P↑ C I,6.96
163,Z H P↑ C I P↑ W,6.84
164,Z V P↑ C H P↑ C I V,8.64
181,Z V P↑ W ↫V,4.11
182,Z I V P↑ W P↑ W ↫V,6.33
183,Z V P↑ W U↑ W C ↫V,8.04
184,Z D U↑ C O H,7.61
201,Z I H↑ C I V,5.54
202,Z I H↑ C H,5.66
203,Z I H↑ C O H,6.42
204,Z I H↑ C D P↑ W I V,9.41
221,Z I V↑ C D V,4.6
222,Z I H↑ C I V,5.54
223,Z I H↑ W D O↑ V,7.62
224,Z I H↑ W D H↑ C V,9.28
241,Z C H↑ W ↫V,5.39
242,Z C H↑ W ↫O,6.19
243,Z C O H↑ W ↫O,6.96
244,Z C K H↑ W ↫O,7.69
261,Z I V↑ W C V,4.33
262,Z C I H↑ P W I V,6.63
263,Z C D O↑ W I V,7.09
264,Z C D H↑ P O↑ V,7.32
281,Z C I↑ W C I,4.9
282,Z C I↑ W C D↑ I,5.66
283,Z C D↑ W C K↑ I,7.51
284,Z C D↑ W D↑ C I,7.92
301,Z C I↑ W C I,4.9
302,Z C K↑ V W I,6.42
303,Z C K↑ P W I,7.5
304,Z C G↑ P C I,8.36
321,Z C D↑ V C I,4.78
322,Z C D↑ P C I,6.37
323,Z W O↑ U W I,7.34
324,Z P W O↑ U C I,7.85
341,Z W C↑ P W I,5.31
342,Z W C D↑ H C I,6.45
343,Z W K↑ H W C I,7.74
344,Z W K↑ U C I,8.54
